Site,CODE,Strata,Species,No.,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5,collector,date,weather,Bird72,Arth72,Mam72,Lost72,NonLost72H,TotalPred72H,Survived72H,BirdProp,ArthProp,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5
TOM,TOM_SP1,U,Magnolia_kobus,1,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP1,U,Magnolia_kobus,2,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP1,U,Magnolia_kobus,5,1,Snail,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,1,4,0,4,0,0,,,,,
TOM,TOM_SP1,U,Magnolia_kobus,6,1,1,1,1,Bird,legi+mata/katka,23/07/2018,partly cloudy,1,0,0,0,5,1,4,0.2,0,,,,,1
TOM,TOM_SP1,U,Magnolia_kobus,7,1,1,1,Arth,Arth,legi+mata/katka,23/07/2018,partly cloudy,0,2,0,0,5,2,3,0,0.4,,,,,
TOM,TOM_SP1,U,Magnolia_kobus,8,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,2,1,1,1,1,Mam,legi+mata/katka,23/07/2018,partly cloudy,0,0,1,0,5,1,4,0,0,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,3,1,1,Arth,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,4,1,Arth,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,5,1,1,Arth,1,Snail,legi+mata/katka,23/07/2018,partly cloudy,0,1,0,1,4,1,3,0,0.25,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,6,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP2,U,Syringa_reticulata,7,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP3,U,Carpinus_cordata,3,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP3,U,Carpinus_cordata,4,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP3,U,Carpinus_cordata,5,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP3,U,Carpinus_cordata,6,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP3,U,Carpinus_cordata,7,1,1,Arth,1,Bird,legi+mata/katka,23/07/2018,partly cloudy,1,1,0,0,5,2,3,0.2,0.2,,,,,1
TOM,TOM_SP3,U,Carpinus_cordata,8,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP4,U,Acer_mono,1,1,1,1,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP4,U,Acer_mono,3,1,1,Arth,1,1,legi+mata/katka,23/07/2018,partly cloudy,0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP4,U,Acer_mono,4,1,1,Arth,1,Arth,legi+mata/katka,23/07/2018,partly cloudy,0,2,0,0,5,2,3,0,0.4,,,,,
