contrast,odds.ratio,SE,df,z.ratio,p.value
C BUB / U DRO,0.0905593093095373,0.026322321792104513,Inf,-8.262981101914264,1.4277468096679513e-13
U DRO / C KAK,12.009565563891794,3.7005764090067284,Inf,8.066910504402212,1.9984014443252818e-13
C BUB / C EUC,0.1086859886204742,0.03248561455178269,Inf,-7.425009225356946,7.518985434273873e-12
C EUC / C KAK,10.006606889977421,3.1611993097327624,Inf,7.290800316639501,2.0411117240826115e-11
U BUB / U DRO,0.26772090442502283,0.05563567931670504,Inf,-6.341350628179344,1.5004782083494206e-8
C BUB / U EUC,0.1663018652459469,0.04945104106556922,Inf,-6.032984084157488,1.0585526044604165e-7
U DRO / U TOM,3.4974093264249193,0.7289443988997981,Inf,6.00709077658675,1.2419362072080276e-7
U EUC / C KAK,6.539782106263244,2.056482106863149,Inf,5.971888566561654,1.54158782517122e-7
C DRO / U DRO,0.28082010582010397,0.062482026422997924,Inf,-5.708090318633057,7.488159552426765e-7
U DRO / U LAK,3.961865284974125,0.9711850234870467,Inf,5.61618952069633,1.2776702493777492e-6
U BUB / C EUC,0.32130889020303804,0.07042324379100943,Inf,-5.180090861014886,1.4358738784858716e-5
C EUC / U TOM,2.9141104294478564,0.640394342195854,Inf,4.86704700504895,7.22989982572253e-5
C KAK / C LAK,0.17562724014450884,0.0631214782535754,Inf,-4.839628827871061,8.28895857482026e-5
U DRO / U KAK,2.5675099055166193,0.5026155831612379,Inf,4.8168002319698635,9.282536720134349e-5
C BUB / C LAK,0.19100831600879717,0.06581075454410586,Inf,-4.804723582504591,9.85325194213793e-5
C KAK / U KAK,0.21378874130436054,0.069073411061508,Inf,-4.775009624218314,1.140382759844405e-4
C BUB / U KAK,0.2325119236889805,0.07125883259252805,Inf,-4.7599937265669086,1.227355761543869e-4
C EUC / U LAK,3.301104294478512,0.841247951531533,Inf,4.686331847818463,1.754044180523051e-4
C DRO / C EUC,0.337030075187972,0.07857775007879046,Inf,-4.664783816552211,1.945022373469607e-4
U DRO / C TOM,2.9522958727889543,0.6952598031507741,Inf,4.596994808357362,2.6835370900324396e-4
C KAK / C TOM,0.2458286985555404,0.08569721573087764,Inf,-4.024952764492127,0.003309751883327605
C BUB / C TOM,0.26735787511716536,0.0891002364412457,Inf,-3.958347849495756,0.00432674662164545
C KAK / U TOM,0.29121863799472497,0.09636962433077272,Inf,-3.728051152656561,0.010481291530980319
C EUC / C TOM,2.459911148720054,0.604115166815875,Inf,3.6652416829228964,0.013189046288165307
C EUC / U KAK,2.139299891735815,0.44451239586685576,Inf,3.65994705452692,0.013443920725736636
C BUB / U TOM,0.3167229729737749,0.09967715020986402,Inf,-3.653246534688633,0.013772833197394085
C DRO / C KAK,3.37252747250557,1.14652028892886,Inf,3.5759114485069716,0.01812807593186505
