Strata,Site,prob,SE,df,asymp.LCL,asymp.UCL
C,BUB,0.04823151125413459,0.012149277054726421,Inf,0.029282846112580096,0.0784507442098841
U,BUB,0.13029315960911922,0.019212242637509976,Inf,0.09702990484600321,0.17277762330579566
C,DRO,0.13580246913580096,0.021976433178756954,Inf,0.09817971427106649,0.18488664281141745
U,DRO,0.35880398671096203,0.027646540148158254,Inf,0.30659512038468495,0.4145876875569068
C,EUC,0.317991631799159,0.0301233832292315,Inf,0.2620668880376787,0.37970976526292227
U,EUC,0.2335526315789452,0.024265919887063156,Inf,0.1893790295562892,0.28441478176052115
C,KAK,0.0445205479454812,0.012069763339538618,Inf,0.026023735329325597,0.07514989663968341
U,KAK,0.17894736842105122,0.022705220649856906,Inf,0.1386700473434867,0.22782900270433581
C,LAK,0.20967741935483747,0.036556716779126905,Inf,0.14688497439006834,0.2901826177009713
U,LAK,0.12376237623762222,0.02317018936235895,Inf,0.08501843634077176,0.17675168588399418
C,TOM,0.1593406593406603,0.027129240299605683,Inf,0.11303629757909714,0.21991031190784954
U,TOM,0.1379310344827562,0.020248973076239917,Inf,0.10281311121795887,0.18260283271181263
