contrast,odds.ratio,SE,df,z.ratio,p.value
U BUB / C TOM,0.05969101123595607,0.0286960834531468,Inf,-5.862943727418445,2.9860077710441857e-7
C BUB / C TOM,0.02153716216216215,0.01569034604336417,Inf,-5.268150080621954,8.947793830649253e-6
C DRO / C TOM,0.16696428571428126,0.05856622524597984,Inf,-5.102974522864642,2.1584996894863373e-5
U KAK / C TOM,0.204326923076926,0.06406535436157558,Inf,-5.064798360448281,2.6351579807348813e-5
U EUC / C TOM,0.20520386266094343,0.06434631454765412,Inf,-5.0506683273654795,2.8360490776924152e-5
U BUB / C EUC,0.09249801384633047,0.045331890130844744,Inf,-4.857459529113767,7.584569220864257e-5
U DRO / C TOM,0.18167098445595656,0.06383343449669172,Inf,-4.854045601198879,7.714837288730347e-5
C TOM / U TOM,3.7348272642389,1.0496680609173312,Inf,4.688518143701678,1.735698944121955e-4
C BUB / C EUC,0.03337428337428352,0.02452081933724422,Inf,-4.627559482519825,2.3224679043143404e-4
C KAK / C TOM,0.011424731182795784,0.011600201443659895,Inf,-4.404329615255499,6.51750609878321e-4
C EUC / C KAK,56.484662576686425,57.603894944032646,Inf,3.955589914174941,0.004374516120429495
C LAK / C TOM,0.1301020408163288,0.06976834755783354,Inf,-3.8030829443691396,0.00791325406393295
C DRO / C EUC,0.2587301587301531,0.09404013627862204,Inf,-3.7196385272866257,0.010812053941817168
C EUC / U KAK,3.158282208588897,1.0349251335381977,Inf,3.50954259620826,0.02280568440487729
C EUC / U EUC,3.144785276073616,1.0305903826376883,Inf,3.4961746150337447,0.023867964986548973
U DRO / C EUC,0.28151986183074096,0.10248577269329294,Inf,-3.4818602859772927,0.02505371729181316
C BUB / U TOM,0.08043758043757761,0.05992450882626623,Inf,-3.3830018797016383,0.03475415778979207
C KAK / U TOM,0.04266939750810604,0.04383132267206973,Inf,-3.0706566253010634,0.08930126235396274
C BUB / U EUC,0.10495495495495527,0.07954013117299975,Inf,-2.974498245412714,0.11600134722773014
U BUB / U TOM,0.22293561619403932,0.11265736895936809,Inf,-2.9700487993061637,0.1173737338884715
C BUB / U KAK,0.10540540540540383,0.0798802296243076,Inf,-2.968894584464574,0.11773179561405478
C EUC / U TOM,2.4101665205958738,0.7152026396218892,Inf,2.964493342643274,0.11910495256457565
C EUC / C LAK,4.960122699386391,2.7015238101860244,Inf,2.940300446922037,0.12687587432971403
U EUC / C KAK,17.961373390557736,18.618787220312935,Inf,2.7862427682504642,0.1856783804092632
C KAK / U KAK,0.05591397849462329,0.05796002125145633,Inf,-2.7821350677091443,0.18747554589323623
C BUB / U DRO,0.1185503685503698,0.09178806336016791,Inf,-2.754158377452126,0.20004063180999876
C BUB / C DRO,0.12899262899263236,0.09983807611320883,Inf,-2.6460536551329517,0.25392879200357743
U DRO / C KAK,15.901554404144779,16.67522450555989,Inf,2.6380651295003994,0.2582443866525945
C DRO / C KAK,14.61428571428521,15.322402376169432,Inf,2.558052344901474,0.3039109114309264
U BUB / U EUC,0.2908863920099936,0.15245994634996335,Inf,-2.355983118892475,0.4364918457112751
U BUB / U KAK,0.29213483146067504,0.15310916928838975,Inf,-2.3478903844441352,0.4422078253957449
C KAK / C LAK,0.0878136200716837,0.0987186137514878,Inf,-2.1638272455049377,0.5761866205244248
C BUB / C LAK,0.16554054054053752,0.14465463069466764,Inf,-2.058220622963246,0.6528533203584885
U BUB / U DRO,0.32856656452162997,0.17991404925045903,Inf,-2.032636078164578,0.6709564462910818
U BUB / C DRO,0.3575076608784631,0.1956244268054375,Inf,-1.879784878861498,0.772114889422411
C EUC / C TOM,0.6453220858895674,0.16300902398221434,Inf,-1.7339823506188712,0.8526806685388437
U BUB / C KAK,5.224719101123646,5.740845525059289,Inf,1.5047532521372289,0.9397376372906707
C LAK / U TOM,0.4859086491739472,0.27133685840088784,Inf,-1.2924786731654185,0.9802412173821363
C DRO / U TOM,0.6235827664398712,0.2393209947104531,Inf,-1.230572308215496,0.9866148149375638
C BUB / U BUB,0.36081081081080446,0.3034081464243902,Inf,-1.2122650499703127,0.9881462600978181
U BUB / C LAK,0.4588014981273405,0.3125072779473884,Inf,-1.1438757955089327,0.9926753390029015
U DRO / U TOM,0.678509745867228,0.26077159482232054,Inf,-1.0091757577382914,0.9975389639866883
U EUC / C LAK,1.5772532188840862,0.9076576244598152,Inf,0.7918519063652933,0.9997459489793246
