Strata,Site,prob,SE,df,asymp.LCL,asymp.UCL
C,BUB,0.006711409395973228,0.00472973117412682,Inf,0.0016791444368756685,0.026425774576522006
U,BUB,0.018382352941176985,0.0081449285108452,Inf,0.007671802069323663,0.0433919779594189
C,DRO,0.04977375565610788,0.01462909901624545,Inf,0.02777520333073697,0.0876252896044073
U,DRO,0.05392156862745101,0.01581356346717657,Inf,0.030109176401328756,0.09472710085259019
C,EUC,0.16836734693877645,0.026728012461091837,Inf,0.12224126752263337,0.2273895746716498
U,EUC,0.06048387096774239,0.015137218114966888,Inf,0.03678862382904049,0.09788998080525683
C,KAK,0.0035714285714286385,0.0035650453159752037,Inf,5.028653604765368e-4,0.024898391928404567
U,KAK,0.06024096385542316,0.0150783749149926,Inf,0.03663954920651914,0.09750650195761
C,LAK,0.03921568627451091,0.019219530565090924,Inf,0.014796541203752548,0.09985007613986295
U,LAK,5.214767299642812e-9,3.2921801520815773e-6,Inf,2.2204460492503126e-16,0.9999999999999998
C,TOM,0.23880597014925584,0.03007268795845182,Inf,0.1849013420774779,0.30259161650341937
U,TOM,0.07749077490775239,0.01624148425314639,Inf,0.05106510139460525,0.11592094054987719
