contrast,odds.ratio,SE,df,z.ratio,p.value
C BUB / C EUC,0.08510442260446581,0.023681018979805218,Inf,-8.854634505088866,8.892886427247504e-14
C BUB / C TOM,0.07144034278184108,0.019806875690051184,Inf,-9.518078008646672,9.803269307440132e-14
C EUC / C KAK,13.44872918489379,4.039961629183843,Inf,8.651491921824917,1.0302869668521453e-13
C BUB / U DRO,0.0931467181467664,0.025642693899073518,Inf,-8.621993211366993,1.0458300891968975e-13
U DRO / C KAK,12.287564766810274,3.6574314614948302,Inf,8.427891227665434,1.2279066652354231e-13
C KAK / C TOM,0.06241804353542005,0.01869195568253721,Inf,-9.262886624459174,1.2745360322696797e-13
U BUB / C TOM,0.2096464784872545,0.0422600551688895,Inf,-7.750522971492006,6.740163982499325e-13
U LAK / C TOM,0.17569243489045075,0.04314876950795489,Inf,-7.080913816057732,9.456235794402801e-11
U BUB / C EUC,0.24974463738508895,0.050688576051337836,Inf,-6.83536294896744,5.39617572847817e-10
C BUB / U EUC,0.15381329605475513,0.04295439670760908,Inf,-6.70340963310584,1.342825850514373e-9
U EUC / C KAK,7.441140404642088,2.2422261848600464,Inf,6.660589530671909,1.7984982392249549e-9
U BUB / U DRO,0.27334529317345435,0.05436222101127203,Inf,-6.52170131129621,4.582425772170495e-9
C DRO / C TOM,0.2665505226480746,0.05439861650167453,Inf,-6.478672645504058,6.0990502648294864e-9
C EUC / U LAK,4.777914110429351,1.178853809158839,Inf,6.338934539315455,1.5241798823062425e-8
C TOM / U TOM,3.0451574569221003,0.5599906640645382,Inf,6.055356367628289,9.21570550982409e-8
U DRO / U LAK,4.365388601036135,1.0624536727198992,Inf,6.055138995074556,9.228144315365228e-8
C KAK / U KAK,0.17525276841639673,0.053791901899841454,Inf,-5.6738511619803855,9.146522252923006e-7
C BUB / U KAK,0.20058491327158093,0.05722850559571552,Inf,-5.6308161986651575,1.1741759876615632e-6
U KAK / C TOM,0.3561601000625345,0.06554207771374701,Inf,-5.60999545906612,1.3241165006672162e-6
C DRO / C EUC,0.31753246753246295,0.06523727952722887,Inf,-5.583699634192609,1.5401892518029925e-6
C KAK / U TOM,0.1900727707183726,0.05832607149930913,Inf,-5.4107363848510195,4.091159029440128e-6
C BUB / U TOM,0.2175470925471943,0.062049893709704304,Inf,-5.3478458711657035,5.792404047966215e-6
C KAK / C LAK,0.16391875746752876,0.05643903034759457,Inf,-5.252183014160752,9.754731721600685e-6
C DRO / U DRO,0.3475390156062412,0.07000028970913696,Inf,-5.2472134217804545,1.001990378857176e-5
C BUB / C LAK,0.18761261261270518,0.06100707074888947,Inf,-5.146066544043279,1.7200998065791673e-5
C EUC / U TOM,2.556237218813804,0.47395556501923974,Inf,5.061912345136572,2.6750437113309822e-5
U DRO / U TOM,2.3355314806090832,0.4225713170513887,Inf,4.688179080771873,1.7385319890195206e-4
C EUC / U KAK,2.356927021335027,0.43730210684014487,Inf,4.62090569280738,2.3968965200171777e-4
C DRO / C KAK,4.2704081632551745,1.3638374192197225,Inf,4.545550395626538,3.414608807016384e-4
C BUB / C DRO,0.26801801801815794,0.08004095762703665,Inf,-4.4089878655122154,6.382254373694662e-4
U EUC / C TOM,0.464461425730123,0.08105101723493963,Inf,-4.3945738078280305,6.809589470709865e-4
U DRO / U KAK,2.1534297424792763,0.38990511702019337,Inf,4.236450415005621,0.0013652929993233087
C LAK / C TOM,0.3807864609258318,0.09186621853982843,Inf,-4.002076374146869,0.003630971911367298
U EUC / U LAK,2.6436051502145097,0.6552505651934128,Inf,3.9221084151660914,0.004994617367248266
U BUB / U EUC,0.45137543587757567,0.09223273485732487,Inf,-3.8928610782451063,0.005601574871636816
