Strata,Site,prob,SE,df,asymp.LCL,asymp.UCL
C,BUB,0.05431309904155987,0.015489861804197792,Inf,0.030821909805847935,0.09397231610849974
U,BUB,0.14423076923077088,0.024050490314941723,Inf,0.10316955587996972,0.19802576595049232
C,DRO,0.1764705882352927,0.028866861728942934,Inf,0.1267776307625761,0.24028193160363742
U,DRO,0.38141025641025506,0.033251725185006145,Inf,0.31869091175980535,0.44835014618619473
C,EUC,0.40293040293040405,0.035895508715403125,Inf,0.33498865545275547,0.4748132768847595
U,EUC,0.27187499999999876,0.03007506382775612,Inf,0.2170571027148858,0.3346203065243799
C,KAK,0.04778156996597782,0.015068089058622027,Inf,0.025549624919793824,0.08761914789812307
U,KAK,0.22259136212624783,0.02899275763219682,Inf,0.17093560090361834,0.28450046937119794
C,LAK,0.23437500000000341,0.04527439432607225,Inf,0.15732360777787074,0.3341972504144207
U,LAK,0.12376237623762648,0.028017122017022583,Inf,0.0784470853273483,0.1898612567988073
C,TOM,0.4456521739130495,0.036176669840884176,Inf,0.37630431381436963,0.5171825496552459
U,TOM,0.20886075949367827,0.02765064627954822,Inf,0.15979108391207233,0.2681892571943473
